# iQ2	iBeta	Q2	beta	xpom	y	d3_theory	d3_theory_err	d3_data	d3_data_err	red_theory	red_theory_err	red_data	red_data_err
4	1	5.1453226	0.1	0.045	0.28584496	3.3453213	0.12707825	2.7194836	0.2585197	788.82938	29.96515	641.25637	60.959148
5	1	8.1547867	0.1	0.045	0.45303374	3.4417795	0.10238676	3.0725728	0.26418812	2369.4282	70.486239	2115.2549	181.87533
6	1	12.924466	0.1	0.045	0.71801008	1.3164221	0.050297903	1.3050162	0.15607595	2739.6328	104.67599	2715.8957	324.81283
4	2	5.1453226	0.3	0.045	0.095281654	4.6824843	0.15034551	4.5257927	0.43794	2750.4758	88.312456	2658.4357	257.24451
5	2	8.1547867	0.3	0.045	0.15101125	4.3920761	0.11566108	4.2565735	0.30610377	6848.453	180.34739	6637.1673	477.29985
6	2	12.924466	0.3	0.045	0.23933669	1.7392146	0.05781345	1.9715183	0.18934998	7425.5247	246.83279	8417.3383	808.42407
7	2	20.483898	0.3	0.045	0.3793231	0.68388598	0.028796795	0.63924937	0.083175966	8358.0928	351.9392	7812.5677	1016.5327
8	2	32.464791	0.3	0.045	0.6011866	0.21116099	0.012710398	0.18755292	0.032958068	7747.4568	466.3421	6881.2815	1209.2253
4	3	5.1453226	0.5	0.045	0.057168993	3.9873526	0.13873774	4.0503703	0.37535275	3758.0791	130.76029	3817.4732	353.76989
5	3	8.1547867	0.5	0.045	0.090606747	3.5757957	0.1043611	2.9182153	0.23712331	8752.5033	255.44549	7142.9386	580.40859
6	3	12.924466	0.5	0.045	0.14360202	1.3759974	0.051423438	1.2451636	0.11920145	8916.8538	333.23847	8069.0134	772.45922
7	3	20.483898	0.5	0.045	0.22759386	0.47775014	0.024068704	0.51270562	0.063493601	8443.0399	425.3542	9060.7908	1122.0907
8	3	32.464791	0.5	0.045	0.36071196	0.17520241	0.011577701	0.14702961	0.021172153	8814.9956	582.5113	7397.5316	1065.239
9	3	51.453226	0.5	0.045	0.57168993	0.052134877	0.0050166809	0.071637183	0.015854734	7842.8845	754.68191	10776.704	2385.0991
10	3	81.547867	0.5	0.045	0.90606747	0.0097466322	0.0017229774	0.0091374676	0.0040863998	4320.5264	763.76839	4050.4935	1811.4358
4	4	5.1453226	0.7	0.045	0.040834995	3.3067028	0.12634262	3.6373731	0.43023638	4292.5933	164.01156	4721.8526	558.51097
5	4	8.1547867	0.7	0.045	0.064719105	2.677278	0.090302346	2.1766091	0.19384323	8940.7771	301.56493	7268.7919	647.33998
6	4	12.924466	0.7	0.045	0.10257287	1.0473723	0.044864502	0.84923565	0.092268363	9123.4439	390.8054	7397.5162	803.73064
7	4	20.483898	0.7	0.045	0.16256704	0.38680785	0.021657082	0.37739265	0.052110572	8981.3405	502.85853	8762.7277	1209.962
8	4	32.464791	0.7	0.045	0.2576514	0.15378028	0.010846825	0.12559998	0.021462009	9837.6483	693.89421	8034.8952	1372.9698
9	4	51.453226	0.7	0.045	0.40834995	0.057444911	0.0052659663	0.048031669	0.012362457	10605.399	972.19534	8867.5396	2282.3395
10	4	81.547867	0.7	0.045	0.64719105	0.011269543	0.0018527015	0.013097037	0.006885176	6274.5428	1031.5285	7292.0362	3833.4589
4	5	5.1453226	0.9	0.045	0.031760551	0.32825663	0.039806964	0.30090191	0.058059551	542.93055	65.84	497.68634	96.029451
5	5	8.1547867	0.9	0.045	0.050337082	0.56347717	0.041427666	0.68046445	0.11142809	2384.8857	175.34028	2880.0278	471.61317
6	5	12.924466	0.9	0.045	0.079778898	0.35553006	0.02613909	0.39749349	0.059362419	3892.4635	286.17961	4351.8934	649.91987
7	5	20.483898	0.9	0.045	0.12644103	0.18309713	0.014900233	0.1679282	0.026498435	5274.3994	429.22453	4837.4345	763.32887
8	5	32.464791	0.9	0.045	0.20039553	0.064266387	0.0070120377	0.07565509	0.016233769	5001.2357	545.67955	5887.5091	1263.3183
9	5	51.453226	0.9	0.045	0.31760551	0.023653787	0.0033791124	0.023846879	0.0068001612	5171.7377	738.81967	5213.956	1486.8084
10	5	81.547867	0.9	0.045	0.50337082	0.0082237209	0.0015826558	-1	0	5310.0282	1021.9154	-1	0
