# iQ2	iBeta	Q2	beta	xpom	y	d3_theory	d3_theory_err	d3_data	d3_data_err	red_theory	red_theory_err	red_data	red_data_err
4	2	5.1453226	0.3	0.0065	0.65964222	18.495468	0.61858099	18.823672	1.721087	2557.4749	85.534755	2602.8575	237.9846
4	3	5.1453226	0.5	0.0065	0.39578533	29.853424	0.78588858	26.476797	1.3855816	5623.8737	148.04795	4987.7751	261.01985
5	3	8.1547867	0.5	0.0065	0.62727748	18.823183	0.49569032	17.382934	0.92333081	10675.718	281.13472	9858.8696	523.67443
4	4	5.1453226	0.7	0.0065	0.28270381	23.771021	0.70127414	23.005074	1.0132184	5650.6796	166.70195	5468.604	240.85514
5	4	8.1547867	0.7	0.0065	0.44805534	19.684716	0.50690723	18.920712	0.76994762	13644.687	351.36857	13115.109	533.69804
6	4	12.924466	0.7	0.0065	0.71011986	4.1016364	0.18379872	3.5166217	0.25184814	8594.918	385.14749	7369.0284	527.74403
4	5	5.1453226	0.9	0.0065	0.21988074	4.0342464	0.28889839	3.7127475	0.17854678	1160.8836	83.132601	1068.37	51.378129
5	5	8.1547867	0.9	0.0065	0.34848749	5.4824806	0.26751766	5.5107233	0.22552551	4475.018	218.35852	4498.0708	184.08286
6	5	12.924466	0.9	0.0065	0.55231545	1.9849284	0.12786048	2.0092686	0.12159794	4829.2719	311.08075	4888.4907	295.84416
7	5	20.483898	0.9	0.0065	0.875361	0.42612956	0.047058138	0.40377618	0.045487181	3078.3456	339.9464	2916.8655	328.59786
