# iQ2	iBeta	Q2	beta	xpom	y	d3_theory	d3_theory_err	d3_data	d3_data_err	red_theory	red_theory_err	red_data	red_data_err
4	1	5.1453226	0.1	0.025	0.51452093	4.518356	0.25580154	3.3235984	0.73839486	723.31194	40.949475	532.05157	118.20446
5	1	8.1547867	0.1	0.025	0.81546072	3.8285989	0.1870393	4.8108767	0.86434238	1839.7171	89.87606	2311.7209	415.33351
4	2	5.1453226	0.3	0.025	0.17150698	8.7325919	0.35561863	7.9603977	0.90244501	3072.9702	125.14102	2801.2376	317.56741
5	2	8.1547867	0.3	0.025	0.27182024	7.6023731	0.26356486	6.0010319	0.54642029	7405.663	256.74517	5845.7562	532.28176
6	2	12.924466	0.3	0.025	0.43080605	2.9691564	0.13083667	2.3792852	0.33121774	8397.0557	370.01848	6728.8439	936.71514
7	2	20.483898	0.3	0.025	0.68278158	0.95307514	0.058881179	0.8809276	0.17213602	8144.468	503.16691	7527.9339	1470.9819
4	3	5.1453226	0.5	0.025	0.10290419	8.4139899	0.34907112	7.3294557	0.73181535	4611.0751	191.29963	4016.7235	401.05296
5	3	8.1547867	0.5	0.025	0.16309214	6.9353379	0.25173682	6.8058108	0.53987314	10132.986	367.80411	9943.7388	788.79029
6	3	12.924466	0.5	0.025	0.25848363	2.1331804	0.11089877	2.2417996	0.24879413	8589.4149	446.54242	9026.7786	1001.7887
7	3	20.483898	0.5	0.025	0.40966895	0.96035053	0.059105489	0.91468351	0.15013386	11163.658	687.07563	10632.798	1745.2409
8	3	32.464791	0.5	0.025	0.64928152	0.29837965	0.026169627	0.21689906	0.069171717	10461.954	917.57408	7605.0359	2425.3374
4	4	5.1453226	0.7	0.025	0.07350299	5.6189812	0.28526055	5.2674138	0.56834899	4186.7004	212.54751	3924.7477	423.47658
5	4	8.1547867	0.7	0.025	0.11649439	5.2814563	0.21967962	5.0136031	0.40249305	10316.786	429.12171	9793.5617	786.22907
6	4	12.924466	0.7	0.025	0.18463116	1.8506781	0.10329478	1.6995496	0.17388207	9712.1344	542.07848	8919.0301	912.51206
7	4	20.483898	0.7	0.025	0.29262068	0.6766106	0.049611496	0.61386042	0.089974664	9896.6605	725.65835	8978.825	1316.0431
8	4	32.464791	0.7	0.025	0.46377252	0.19509439	0.021160957	0.20351022	0.052081395	8352.891	905.99823	8713.2117	2229.8449
9	4	51.453226	0.7	0.025	0.7350299	0.069513169	0.010033362	0.035191042	0.010820807	8993.9644	1298.1669	4553.1945	1400.0506
4	5	5.1453226	0.9	0.025	0.057168993	0.78202315	0.10641987	0.78057496	0.13951575	737.05667	100.30071	735.69175	131.49357
5	5	8.1547867	0.9	0.025	0.090606747	0.86805943	0.089061018	0.79902078	0.098788839	2124.7559	217.99536	1955.7695	241.80622
6	5	12.924466	0.9	0.025	0.14360202	0.77832256	0.066987341	0.82094499	0.095116948	5043.7511	434.09698	5319.9565	616.38482
7	5	20.483898	0.9	0.025	0.22759386	0.25827609	0.030651732	0.28293155	0.039975034	4564.3845	541.69278	5000.1082	706.45885
8	5	32.464791	0.9	0.025	0.36071196	0.068856843	0.012571482	0.069053577	0.014037204	3464.4087	632.51161	3474.3071	706.25678
9	5	51.453226	0.9	0.025	0.57168993	0.030412012	0.006636445	0.040066618	0.011610643	4575.016	998.35033	6027.402	1746.6414
10	5	81.547867	0.9	0.025	0.90606747	0.0036549871	0.0018274935	0.0036549871	0.0021429261	1620.1974	810.09871	1620.1974	949.92494
