# iQ2	iBeta	Q2	beta	xpom	y	d3_theory	d3_theory_err	d3_data	d3_data_err	red_theory	red_theory_err	red_data	red_data_err
4	1	5.1453226	0.1	0.013891397	0.92597046	3.5701179	0.13305044	3.2538891	0.25657053	390.27396	14.544652	355.70483	28.047477
4	2	5.1453226	0.3	0.013891397	0.30865682	11.409502	0.23785286	10.674132	0.42694118	2545.5827	53.067534	2381.5137	95.255176
5	2	8.1547867	0.3	0.013891397	0.48918809	11.247317	0.1875856	10.170883	0.35114878	7388.2274	123.22272	6681.1306	230.6654
6	2	12.924466	0.3	0.013891397	0.77531088	3.3242383	0.08100673	3.0464429	0.16690151	6583.9129	160.44014	6033.7174	330.56144
4	3	5.1453226	0.5	0.013891397	0.18519409	9.9269111	0.22186158	9.5140832	0.37551279	3278.8026	73.279623	3142.4478	124.02975
5	3	8.1547867	0.5	0.013891397	0.29351286	9.0260114	0.16804398	8.5473004	0.30804936	8311.6819	154.74478	7870.8567	283.66996
6	3	12.924466	0.5	0.013891397	0.46518653	3.3380564	0.081174919	3.2783096	0.16298891	9000.6675	218.87841	8839.5675	439.47999
7	3	20.483898	0.5	0.013891397	0.73727096	1.1433857	0.03773735	1.2414236	0.089020913	9316.1155	307.47763	10114.913	725.32755
4	4	5.1453226	0.7	0.013891397	0.13228149	10.219462	0.22510703	9.2707371	0.34346645	4485.6026	98.805653	4069.181	150.75685
5	4	8.1547867	0.7	0.013891397	0.20965204	9.154284	0.16923384	8.4470387	0.26752019	10889.884	201.31961	10048.549	318.24048
6	4	12.924466	0.7	0.013891397	0.33227609	3.3637186	0.081486348	3.2352909	0.1421462	11294.149	273.60164	10862.935	477.27545
7	4	20.483898	0.7	0.013891397	0.52662211	1.1944519	0.038570864	0.97890476	0.061227549	11899.129	384.24291	9751.8484	609.94879
8	4	32.464791	0.7	0.013891397	0.8346398	0.3277073	0.016047895	0.32489974	0.035644143	9770.772	478.47676	9687.0632	1062.7496
4	5	5.1453226	0.9	0.013891397	0.10288561	7.2245302	0.18926915	6.7534434	0.30321561	3959.8636	103.741	3701.6545	166.19661
5	5	8.1547867	0.9	0.013891397	0.1630627	7.4992545	0.15317366	7.1654811	0.24913597	10958.567	223.83075	10470.828	364.05928
6	5	12.924466	0.9	0.013891397	0.25843696	2.9235136	0.075967457	2.5935529	0.11681098	11773.353	305.93039	10444.56	470.41235
7	5	20.483898	0.9	0.013891397	0.40959498	1.0449897	0.036077052	1.0939793	0.071675781	12148.958	419.42862	12718.507	833.29631
8	5	32.464791	0.9	0.013891397	0.64916429	0.34892576	0.016559284	0.33948536	0.03086942	12235.543	580.67318	11904.503	1082.477
