# iQ2	iBeta	Q2	beta	xpom	y	d3_theory	d3_theory_err	d3_data	d3_data_err	red_theory	red_theory_err	red_data	red_data_err
4	1	5.1453226	0.1	0.043928455	0.29281757	3.7130582	0.076302876	3.25467	0.13006952	860.34004	17.679879	754.12846	30.137963
5	1	8.1547867	0.1	0.043928455	0.46408457	3.3845671	0.057866418	2.9292505	0.10902377	2295.7041	39.249974	1986.8693	73.949284
6	1	12.924466	0.1	0.043928455	0.73552448	1.1073978	0.026292196	1.0187954	0.061090048	2269.8748	53.892098	2088.2631	125.21856
4	2	5.1453226	0.3	0.043928455	0.097605857	2.7675455	0.065875271	2.6233532	0.13671122	1590.6107	37.860953	1507.7381	78.572989
5	2	8.1547867	0.3	0.043928455	0.15469486	3.04522	0.05488888	3.051289	0.12284399	4652.1394	83.852963	4661.4109	187.66702
6	2	12.924466	0.3	0.043928455	0.24517483	1.3290023	0.028803011	1.3084258	0.060842263	5570.2417	120.72194	5483.9995	255.00793
7	2	20.483898	0.3	0.043928455	0.38857591	0.65106285	0.016013508	0.60882887	0.035030604	7831.9302	192.63375	7323.8786	421.39902
8	2	32.464791	0.3	0.043928455	0.61585132	0.20576921	0.0071509745	0.19905265	0.017867437	7443.5995	258.68296	7200.6311	646.34569
4	3	5.1453226	0.5	0.043928455	0.058563514	3.142301	0.070193827	2.6206842	0.14087413	2895.123	64.672278	2414.5374	129.79277
5	3	8.1547867	0.5	0.043928455	0.092816915	2.7573191	0.052229822	2.5133025	0.11423403	6602.9113	125.07398	6018.5684	273.55455
6	3	12.924466	0.5	0.043928455	0.1471049	1.047471	0.025570901	1.0489128	0.060823355	6649.2423	162.32155	6658.3947	386.10063
7	3	20.483898	0.5	0.043928455	0.23314555	0.39583676	0.012486281	0.41405864	0.035780303	6865.5962	216.56847	7181.646	620.59198
8	3	32.464791	0.5	0.043928455	0.36951079	0.14761704	0.0060568007	0.15029024	0.017824493	7308.1951	299.85888	7440.5393	882.45145
9	3	51.453226	0.5	0.043928455	0.58563514	0.052998888	0.0028827595	0.055674313	0.0079963993	7861.0688	427.58578	8257.9016	1186.0672
10	3	81.547867	0.5	0.043928455	0.92816915	0.011377528	0.0010609599	0.0092702117	0.0023961278	4941.3255	460.78098	4026.1061	1040.652
4	4	5.1453226	0.7	0.043928455	0.041831081	2.6844407	0.06487867	2.8055822	0.14443962	3405.2109	82.298541	3558.8788	183.22154
5	4	8.1547867	0.7	0.043928455	0.066297796	2.4704075	0.049437822	2.2758911	0.099155186	8066.179	161.42046	7431.0593	323.75366
6	4	12.924466	0.7	0.043928455	0.10507493	1.0156349	0.025179311	1.0182187	0.060704083	8657.8262	214.64219	8679.8519	517.47474
7	4	20.483898	0.7	0.043928455	0.16653253	0.34030145	0.011577291	0.35591636	0.033057356	7743.5092	263.43953	8098.8243	752.21524
8	4	32.464791	0.7	0.043928455	0.26393628	0.12873001	0.0056560721	0.12597839	0.012954313	8087.4816	355.34354	7914.6101	813.85655
9	4	51.453226	0.7	0.043928455	0.41831081	0.050333264	0.0028093288	0.047020567	0.0066424552	9150.3993	510.72549	8548.1635	1207.5735
10	4	81.547867	0.7	0.043928455	0.66297796	0.015038124	0.0012197529	0.015898858	0.0065380183	8253.3331	669.43371	8725.7278	3588.2431
4	5	5.1453226	0.9	0.043928455	0.032535286	0.96746491	0.038948671	0.77436628	0.062434522	1563.2761	62.935126	1251.2581	100.88469
5	5	8.1547867	0.9	0.043928455	0.051564953	1.1011468	0.033006361	0.99361829	0.055434126	4555.1471	136.53841	4110.3307	229.31601
6	5	12.924466	0.9	0.043928455	0.081724942	0.59989252	0.019351372	0.58568511	0.0423707	6423.8776	207.22186	6271.7392	453.72159
7	5	20.483898	0.9	0.043928455	0.1295253	0.25325675	0.0099874713	0.2255877	0.020810126	7143.5309	281.71336	6363.0788	586.98447
8	5	32.464791	0.9	0.043928455	0.20528377	0.10189055	0.0050320157	0.11673175	0.015561504	7777.3258	384.09474	8910.1576	1187.8126
9	5	51.453226	0.9	0.043928455	0.32535286	0.037632347	0.0024291575	0.037169782	0.0084134715	8090.1584	522.21748	7990.7169	1808.7184
10	5	81.547867	0.9	0.043928455	0.51564953	0.011476463	0.0010655628	0.0099627568	0.0026240918	7304.4332	678.1996	6341.0037	1670.1578
