# iQ2	iBeta	Q2	beta	xpom	y	d3_theory	d3_theory_err	d3_data	d3_data_err	red_theory	red_theory_err	red_data	red_data_err
4	1	5.1453226	0.1	0.08	0.16078779	2.1541842	0.08831294	2.0263703	0.19332278	800.10555	32.80113	752.63303	71.803811
5	1	8.1547867	0.1	0.08	0.25483148	2.3917322	0.073916127	2.3049722	0.18592413	2445.1737	75.567729	2356.4751	190.07847
6	1	12.924466	0.1	0.08	0.40388067	1.02335	0.038405643	0.89707681	0.078569351	3015.6072	113.17372	2643.5054	231.52811
7	1	20.483898	0.1	0.08	0.64010773	0.31193204	0.016842747	0.28017802	0.040053842	2770.5742	149.59695	2488.5357	355.75744
4	2	5.1453226	0.3	0.08	0.053595931	2.3460695	0.092162313	1.7480873	0.13677256	2350.1826	92.323894	1751.152	137.01235
5	2	8.1547867	0.3	0.08	0.084943825	2.2752294	0.072093404	1.9589803	0.11593127	5906.9661	187.16938	5085.918	300.98155
6	2	12.924466	0.3	0.08	0.13462689	0.97434454	0.03747479	0.87098187	0.067472129	6675.4539	256.74823	5967.293	462.26675
7	2	20.483898	0.3	0.08	0.21336924	0.36922568	0.018324363	0.3797126	0.041114218	6864.7995	340.69428	7059.7768	764.41289
8	2	32.464791	0.3	0.08	0.33816746	0.14000891	0.0089631523	0.12769168	0.017085184	7360.647	471.21714	6713.0968	898.21427
9	2	51.453226	0.3	0.08	0.53595931	0.053583068	0.0044045011	0.064595354	0.010697313	8372.5537	688.21967	10093.264	1671.495
10	2	81.547867	0.3	0.08	0.84943825	0.0098227777	0.0014979596	0.0063962273	0.0024390364	4581.6849	698.7004	2983.4228	1137.6514
4	3	5.1453226	0.5	0.08	0.032157558	1.9767808	0.084598406	1.9937013	0.21249453	3230.4764	138.25163	3258.1281	347.26085
5	3	8.1547867	0.5	0.08	0.050966295	1.7886593	0.063921468	1.4780136	0.1092775	7481.6387	267.37195	6182.264	457.08805
6	3	12.924466	0.5	0.08	0.080776134	0.74084777	0.032677394	0.6989422	0.056813111	8018.8808	353.69767	7565.298	614.94086
7	3	20.483898	0.5	0.08	0.12802155	0.26009493	0.015379736	0.2848832	0.035339191	7411.5395	438.25352	8117.894	1007.0085
8	3	32.464791	0.5	0.08	0.20290048	0.097547194	0.0074815283	0.086174045	0.01060244	7515.78	576.43401	6639.5058	816.89284
9	3	51.453226	0.5	0.08	0.32157558	0.040549349	0.0038315533	0.036166377	0.0065902088	8788.7774	830.4614	7838.8	1428.38
10	3	81.547867	0.5	0.08	0.50966295	0.013706201	0.001769463	0.011574126	0.0025111879	8784.5472	1134.0802	7418.0621	1609.4648
4	4	5.1453226	0.7	0.08	0.022969685	1.5857692	0.075770982	1.0154233	0.19104512	3594.9049	171.7712	2301.9429	433.09521
5	4	8.1547867	0.7	0.08	0.036404497	1.3751889	0.056048514	1.2675814	0.13227581	7936.7327	323.47708	7315.6891	763.41348
6	4	12.924466	0.7	0.08	0.057697239	0.51888171	0.027347467	0.44358153	0.051926863	7683.9433	404.97937	6568.8486	768.96731
7	4	20.483898	0.7	0.08	0.091443961	0.19370707	0.013272589	0.177004	0.02307517	7451.9942	510.60223	6809.4201	887.71171
8	4	32.464791	0.7	0.08	0.14492891	0.076890141	0.0066422965	0.075933796	0.011211888	7835.0096	676.84174	7737.5593	1142.4775
9	4	51.453226	0.7	0.08	0.22969685	0.027515629	0.0031562592	0.030327534	0.0051683013	7651.8485	877.72722	8433.8137	1437.258
10	4	81.547867	0.7	0.08	0.36404497	0.011421835	0.0016152913	0.011992926	0.0032806722	9051.8169	1280.1202	9504.4077	2599.9364
4	5	5.1453226	0.9	0.08	0.01786531	0.15930101	0.024015531	0.18826483	0.059534568	461.94909	69.641445	545.93983	172.64133
5	5	8.1547867	0.9	0.08	0.028314608	0.32666447	0.027317055	0.69831339	0.12706903	2404.4419	201.06953	5139.9957	935.30252
6	5	12.924466	0.9	0.08	0.04487563	0.18593261	0.016370454	0.2012108	0.035446582	3495.0648	307.7233	3782.2562	666.30646
7	5	20.483898	0.9	0.08	0.071123081	0.069116136	0.0079281646	0.057293639	0.013529734	3350.0982	384.28261	2777.0551	655.79387
8	5	32.464791	0.9	0.08	0.11272249	0.025247509	0.0038062052	0.033472076	0.0089457887	3203.8904	483.00465	4247.5819	1135.214
9	5	51.453226	0.9	0.08	0.1786531	0.0076030029	0.0016591112	0.0046462795	0.001400906	2586.5357	564.42835	1580.6607	476.58713
10	5	81.547867	0.9	0.08	0.28314608	0.0038834237	0.00094186861	0.0014848385	0.0004709343	3670.8839	890.32012	1403.5732	445.16006
