# iQ2	iBeta	Q2	beta	xpom	y	d3_theory	d3_theory_err	d3_data	d3_data_err	red_theory	red_theory_err	red_data	red_data_err
4	1	5.1453226	0.1	0.078117066	0.16466342	2.2872837	0.044909172	2.2141756	0.089562025	832.71692	16.349798	806.10092	32.606281
5	1	8.1547867	0.1	0.078117066	0.26097393	2.2704746	0.035541304	2.0997787	0.066336781	2279.9376	35.689435	2108.5302	66.613263
6	1	12.924466	0.1	0.078117066	0.41361581	0.9435813	0.018199719	0.91390695	0.035562887	2738.3585	52.817236	2652.2408	103.20672
7	1	20.483898	0.1	0.078117066	0.65553688	0.29214258	0.0080440073	0.26567895	0.015543121	2558.3465	70.442857	2326.5996	136.11398
4	2	5.1453226	0.3	0.078117066	0.054887807	1.4028791	0.035171035	1.301714	0.076180554	1374.0328	34.447842	1274.948	74.614116
5	2	8.1547867	0.3	0.078117066	0.086991311	1.4031211	0.027939755	1.3847694	0.057411637	3564.3143	70.974681	3517.6961	145.84139
6	2	12.924466	0.3	0.078117066	0.13787194	0.64169145	0.01500853	0.5982509	0.027037578	4306.7014	100.7295	4015.1509	181.46225
7	2	20.483898	0.3	0.078117066	0.21851229	0.28505496	0.0079458312	0.26635648	0.014631872	5201.0329	144.97741	4859.8657	266.96904
8	2	32.464791	0.3	0.078117066	0.34631865	0.10956356	0.0039129842	0.099270841	0.0072595279	5666.7354	202.38341	5134.3859	375.46996
9	2	51.453226	0.3	0.078117066	0.54887807	0.045586957	0.0020049121	0.044280486	0.0041136403	7023.8044	308.90656	6822.51	633.80858
10	2	81.547867	0.3	0.078117066	0.86991311	0.0091798166	0.00071464775	0.0081167859	0.0014049812	4204.6318	327.33014	3717.7318	643.52361
4	3	5.1453226	0.5	0.078117066	0.032932684	1.6277277	0.037884879	1.4214295	0.086182069	2599.4544	60.501531	2269.9997	137.63135
5	3	8.1547867	0.5	0.078117066	0.052194787	1.3747471	0.027655813	1.2704794	0.053213993	5621.8678	113.09522	5195.4773	217.61242
6	3	12.924466	0.5	0.078117066	0.082723162	0.54199759	0.013793476	0.54633155	0.027965257	5739.5863	146.06862	5785.4815	296.1434
7	3	20.483898	0.5	0.078117066	0.13110738	0.19535235	0.0065778559	0.18422584	0.012060114	5452.2841	183.58796	5141.7432	336.59779
8	3	32.464791	0.5	0.078117066	0.20779119	0.074905697	0.0032354333	0.065619207	0.0045793332	5662.3821	244.57766	4960.384	346.16772
9	3	51.453226	0.5	0.078117066	0.32932684	0.028921706	0.0015969341	0.028936927	0.0031953233	6165.1788	340.41505	6168.4234	681.14031
10	3	81.547867	0.5	0.078117066	0.52194787	0.011238321	0.0007907255	0.01042592	0.0015693004	7101.4155	499.65385	6588.0649	991.62982
4	4	5.1453226	0.7	0.078117066	0.023523346	1.2662064	0.033413909	1.0806762	0.070936286	2804.4536	74.006699	2393.5326	157.11303
5	4	8.1547867	0.7	0.078117066	0.037281991	1.2228628	0.026083382	1.1245885	0.056170034	6897.5349	147.12283	6343.2204	316.82602
6	4	12.924466	0.7	0.078117066	0.059087973	0.48232169	0.013011981	0.44227192	0.024201039	6984.1156	188.41612	6404.1869	350.43594
7	4	20.483898	0.7	0.078117066	0.093648126	0.16899529	0.0061180402	0.1540149	0.010325592	6362.2443	230.32871	5798.2704	388.73235
8	4	32.464791	0.7	0.078117066	0.14842228	0.067498977	0.0030713098	0.077471384	0.0069681164	6739.385	306.65263	7735.0725	695.72638
9	4	51.453226	0.7	0.078117066	0.23523346	0.024953789	0.0014833488	0.022365566	0.0026891181	6812.4305	404.95696	6105.8409	734.13421
10	4	81.547867	0.7	0.078117066	0.37281991	0.0097361691	0.00073598521	0.012233433	0.0020026931	7594.2523	574.07151	9542.1287	1562.1089
4	5	5.1453226	0.9	0.078117066	0.018295936	0.32801447	0.017006758	0.35617478	0.037189785	929.20492	48.177031	1008.9779	105.35185
5	5	8.1547867	0.9	0.078117066	0.028997104	0.44118755	0.015667029	0.42247048	0.026695087	3173.1299	112.68115	3038.5121	191.99766
6	5	12.924466	0.9	0.078117066	0.045957312	0.2215029	0.0088178913	0.20257662	0.013835958	4070.0925	162.02782	3722.3241	254.23427
7	5	20.483898	0.9	0.078117066	0.072837432	0.10254891	0.004765852	0.089047071	0.0078488685	4861.9169	225.95244	4221.7851	372.12044
8	5	32.464791	0.9	0.078117066	0.11543955	0.037732347	0.0022963175	0.035496969	0.003308842	4688.1368	285.31092	4410.3974	411.1142
9	5	51.453226	0.9	0.078117066	0.18295936	0.018781474	0.0012868854	0.017091435	0.0020819087	6265.4535	429.3018	5701.6607	694.51963
10	5	81.547867	0.9	0.078117066	0.28997104	0.0056747957	0.0005618885	0.00468727	0.0008711626	5271.8709	521.993	4354.462	809.30786
