# iQ2	iBeta	Q2	beta	xpom	y	d3_theory	d3_theory_err	d3_data	d3_data_err	red_theory	red_theory_err	red_data	red_data_err
4	3	5.1453226	0.5	0.0043928455	0.58563514	36.393615	0.75541852	31.298393	1.2734998	5398.089	112.04758	4642.3394	188.89207
5	3	8.1547867	0.5	0.0043928455	0.92816915	17.709369	0.41857817	17.165682	0.84387251	7691.2805	181.7909	7455.1539	366.49867
4	4	5.1453226	0.7	0.0043928455	0.41831081	36.487696	0.75639431	35.114614	1.2483747	6633.3269	137.50966	6383.7057	226.94986
5	4	8.1547867	0.7	0.0043928455	0.66297796	29.274873	0.53817379	26.704955	0.93143593	16066.85	295.36448	14656.409	511.19749
4	5	5.1453226	0.9	0.0043928455	0.32535286	25.684077	0.63461014	24.68169	0.95432145	5521.5331	136.42776	5306.0412	205.15892
5	5	8.1547867	0.9	0.0043928455	0.51564953	22.201019	0.46866388	20.762776	0.71521792	14130.3	298.29087	13214.9	455.21531
6	5	12.924466	0.9	0.0043928455	0.81724942	5.7180182	0.18892864	4.8930631	0.27294838	10921.471	360.85556	9345.7985	521.33408
