# iQ2	iBeta	Q2	beta	xpom	y	d3_theory	d3_theory_err	d3_data	d3_data_err	red_theory	red_theory_err	red_data	red_data_err
4	1	5.1453226	0.1	0.015	0.85753489	4.8659218	0.2654578	5.8988039	1.0764714	566.03692	30.879846	686.18874	125.22242
4	2	5.1453226	0.3	0.015	0.28584496	14.887404	0.46432537	13.031014	1.0116537	3510.4615	109.48829	3072.7233	238.54873
5	2	8.1547867	0.3	0.015	0.45303374	12.527468	0.33833317	12.594644	0.92069581	8624.2994	232.9191	8670.5455	633.83568
6	2	12.924466	0.3	0.015	0.71801008	3.4765074	0.14157433	3.7340265	0.40210844	7235.0302	294.63321	7770.9584	836.83603
4	3	5.1453226	0.5	0.015	0.17150698	13.555068	0.44306126	12.937107	0.83794018	4769.9835	155.91179	4552.5252	294.86837
5	3	8.1547867	0.5	0.015	0.27182024	11.348735	0.32202282	10.507672	0.59829135	11055.088	313.69054	10235.788	582.81066
6	3	12.924466	0.5	0.015	0.43080605	4.2260032	0.15609099	4.7285498	0.40939458	11951.537	441.44011	13372.787	1157.8067
7	3	20.483898	0.5	0.015	0.68278158	1.2222643	0.066679985	1.6418405	0.22009708	10444.814	569.81132	14030.287	1880.8314
4	4	5.1453226	0.7	0.015	0.12250498	10.846951	0.39633896	9.7581927	0.55879917	5091.4209	186.03647	4580.3717	262.29323
5	4	8.1547867	0.7	0.015	0.19415732	9.2562547	0.29082422	9.0622254	0.47908404	11711.646	367.97066	11466.146	606.16984
6	4	12.924466	0.7	0.015	0.30771861	3.4649767	0.14133935	3.1298222	0.21287635	12278.963	500.86935	11091.264	754.37762
7	4	20.483898	0.7	0.015	0.48770113	1.1058582	0.063425317	1.1167713	0.10611839	11534.245	661.53434	11648.07	1106.8286
8	4	32.464791	0.7	0.015	0.77295419	0.25017986	0.023962885	0.28231306	0.048729698	7869.1259	753.72556	8879.8393	1532.7378
4	5	5.1453226	0.9	0.015	0.095281654	1.3612996	0.14040733	1.4369334	0.1226457	799.62287	82.474801	844.04993	72.04168
5	5	8.1547867	0.9	0.015	0.15101125	2.2204046	0.14243902	2.0124354	0.12411042	3462.2207	222.10156	3137.9395	193.52224
6	5	12.924466	0.9	0.015	0.23933669	1.2741429	0.085708124	1.135083	0.080451166	5439.9148	365.92827	4846.2028	343.48385
7	5	20.483898	0.9	0.015	0.3793231	0.49472603	0.042422407	0.50363837	0.049917623	6046.2799	518.46423	6155.2019	610.06679
8	5	32.464791	0.9	0.015	0.6011866	0.13312323	0.017479936	0.10970013	0.018560694	4884.2663	641.33558	4024.8772	680.98836
